Año,Mes,Fecha,Precio,Mineral,Unidad de medida,Numero Índice
1990,1,1990M01,1528.25,Aluminio (Al),Dólar por Tonelada Métrica (USD/t),82.44233217530156
1990,2,1990M02,1454.28,Aluminio (Al),Dólar por Tonelada Métrica (USD/t),78.45197764495177
1990,3,1990M03,1567.39,Aluminio (Al),Dólar por Tonelada Métrica (USD/t),84.55376216472823
1990,4,1990M04,1525.55,Aluminio (Al),Dólar por Tonelada Métrica (USD/t),82.29667911011371
1990,5,1990M05,1526.93,Aluminio (Al),Dólar por Tonelada Métrica (USD/t),82.37112401009861
1990,6,1990M06,1565.79,Aluminio (Al),Dólar por Tonelada Métrica (USD/t),84.46744923720951
1990,7,1990M07,1570.96,Aluminio (Al),Dólar por Tonelada Métrica (USD/t),84.74634788425436
1990,8,1990M08,1782.02,Aluminio (Al),Dólar por Tonelada Métrica (USD/t),96.13210193556739
1990,9,1990M09,2066.53,Aluminio (Al),Dólar por Tonelada Métrica (USD/t),111.48015881578664
1990,10,1990M10,1945.7,Aluminio (Al),Dólar por Tonelada Métrica (USD/t),104.96191442073237
1990,11,1990M11,1617.5,Aluminio (Al),Dólar por Tonelada Métrica (USD/t),87.25697516345511
1990,12,1990M12,1522.44,Aluminio (Al),Dólar por Tonelada Métrica (USD/t),82.1289083572492
1991,1,1991M01,1515.18,Aluminio (Al),Dólar por Tonelada Métrica (USD/t),81.73726344863303
1991,2,1991M02,1504.6,Aluminio (Al),Dólar por Tonelada Métrica (USD/t),81.16651921541548
1991,3,1991M03,1496.0,Aluminio (Al),Dólar por Tonelada Métrica (USD/t),80.70258723000238
1991,4,1991M04,1391.86,Aluminio (Al),Dólar por Tonelada Métrica (USD/t),75.08469456012774
1991,5,1991M05,1296.05,Aluminio (Al),Dólar por Tonelada Métrica (USD/t),69.91616856914744
1991,6,1991M06,1275.15,Aluminio (Al),Dólar por Tonelada Métrica (USD/t),68.78870595343417
1991,7,1991M07,1296.78,Aluminio (Al),Dólar por Tonelada Métrica (USD/t),69.95554884232786
1991,8,1991M08,1256.45,Aluminio (Al),Dólar por Tonelada Métrica (USD/t),67.77992361305914
1991,9,1991M09,1211.81,Aluminio (Al),Dólar por Tonelada Métrica (USD/t),65.37179293528688
1991,10,1991M10,1150.03,Aluminio (Al),Dólar por Tonelada Métrica (USD/t),62.03903502147033
1991,11,1991M11,1134.8,Aluminio (Al),Dólar por Tonelada Métrica (USD/t),61.217443842651534
1991,12,1991M12,1097.55,Aluminio (Al),Dólar por Tonelada Métrica (USD/t),59.207970998856354
1992,1,1992M01,1177.07,Aluminio (Al),Dólar por Tonelada Métrica (USD/t),63.497723496536686
1992,2,1992M02,1266.83,Aluminio (Al),Dólar por Tonelada Métrica (USD/t),68.33987873033684
1992,3,1992M03,1280.47,Aluminio (Al),Dólar por Tonelada Métrica (USD/t),69.07569643743392
1992,4,1992M04,1317.05,Aluminio (Al),Dólar por Tonelada Métrica (USD/t),71.04902574283062
1992,5,1992M05,1306.79,Aluminio (Al),Dólar por Tonelada Métrica (USD/t),70.49554409511684
1992,6,1992M06,1275.55,Aluminio (Al),Dólar por Tonelada Métrica (USD/t),68.81028418531385
1992,7,1992M07,1313.05,Aluminio (Al),Dólar por Tonelada Métrica (USD/t),70.83324342403384
1992,8,1992M08,1305.05,Aluminio (Al),Dólar por Tonelada Métrica (USD/t),70.40167878644024
1992,9,1992M09,1269.61,Aluminio (Al),Dólar por Tonelada Métrica (USD/t),68.48984744190061
1992,10,1992M10,1173.78,Aluminio (Al),Dólar por Tonelada Métrica (USD/t),63.32024253932632
1992,11,1992M11,1159.05,Aluminio (Al),Dólar por Tonelada Métrica (USD/t),62.52562415035712
1992,12,1992M12,1207.1,Aluminio (Al),Dólar por Tonelada Métrica (USD/t),65.11770925490364
1993,1,1993M01,1206.76,Aluminio (Al),Dólar por Tonelada Métrica (USD/t),65.09936775780592
1993,2,1993M02,1201.85,Aluminio (Al),Dólar por Tonelada Métrica (USD/t),64.83449496148285
1993,3,1993M03,1151.33,Aluminio (Al),Dólar por Tonelada Métrica (USD/t),62.1091642750793
1993,4,1993M04,1108.53,Aluminio (Al),Dólar por Tonelada Métrica (USD/t),59.80029346395356
1993,5,1993M05,1123.96,Aluminio (Al),Dólar por Tonelada Métrica (USD/t),60.63267375871221
1993,6,1993M06,1165.3,Aluminio (Al),Dólar por Tonelada Métrica (USD/t),62.86278402347711
1993,7,1993M07,1202.13,Aluminio (Al),Dólar por Tonelada Métrica (USD/t),64.84959972379863
1993,8,1993M08,1172.14,Aluminio (Al),Dólar por Tonelada Métrica (USD/t),63.23177178861964
1993,9,1993M09,1115.38,Aluminio (Al),Dólar por Tonelada Métrica (USD/t),60.16982068489308
1993,10,1993M10,1087.1,Aluminio (Al),Dólar por Tonelada Métrica (USD/t),58.64423969099971
1993,11,1993M11,1039.81,Aluminio (Al),Dólar por Tonelada Métrica (USD/t),56.09315322702457
